date,genotype,strain,treatment,treat_spec,assay,group,RowA,RowB,CD(Left),CD(middle),CD(right),RowE,RowF,User,Note
12_7_15,N2,OP50,lid,JUb39,oct,,0,0,0,2,0,7,55,MOD,
12_7_15,N2,OP50,lid,JUb39,oct,,2,2,0,1,1,8,56,MOD,
12_7_15,N2,OP50,lid,JUb39,oct,,0,1,2,4,0,33,42,MOD,
12_7_15,N2,JUb39,lid,OP50,oct,,21,2,0,5,3,11,132,MOD,
12_7_15,N2,JUb39,lid,OP50,oct,,13,2,2,7,0,1,91,MOD,
12_7_15,N2,JUb39,lid,OP50,oct,,12,0,0,2,5,2,85,MOD,
12_7_15,N2,JUb39,lid,OP50,oct,,3,2,1,9,3,10,156,PHC,
12_7_15,N2,JUb39,lid,OP50,oct,,1,0,1,1,5,15,99,PHC,
12_7_15,N2,JUb39,lid,OP50,oct,,3,1,2,3,0,15,90,PHC,
12_7_15,N2,OP50,lid,JUb39,oct,,0,0,1,2,2,11,173,PHC,
12_7_15,N2,OP50,lid,JUb39,oct,,0,0,0,5,1,13,94,PHC,
12_7_15,N2,OP50,lid,JUb39,oct,,0,2,1,1,2,45,145,PHC,
12_8_15,N2,JUb39,lid,OP50,oct,,7,0,1,2,2,3,131,PHC,
12_8_15,N2,JUb39,lid,OP50,oct,,21,4,0,3,3,6,131,PHC,
12_8_15,N2,JUb39,lid,OP50,oct,,45,1,3,2,3,7,276,PHC,
12_8_15,N2,OP50,lid,JUb39,oct,,1,0,0,1,1,12,89,PHC,
12_8_15,N2,OP50,lid,JUb39,oct,,3,0,3,0,2,15,185,PHC,
12_8_15,N2,OP50,lid,JUb39,oct,,0,3,3,1,3,8,99,PHC,
12_7_15,N2,OP50,none,NA,oct,,0,0,1,2,1,12,141,PHC,
12_7_15,N2,OP50,none,NA,oct,,3,0,1,3,1,24,236,PHC,
12_7_15,N2,OP50,none,NA,oct,,1,1,0,3,1,15,118,PHC,
12_7_15,N2,JUb39,none,NA,oct,,9,5,1,3,2,7,110,PHC,
12_7_15,N2,JUb39,none,NA,oct,,11,2,0,2,2,32,301,PHC,
12_7_15,N2,JUb39,none,NA,oct,,5,1,2,3,2,19,148,PHC,
12_8_15,N2,OP50,none,NA,oct,,1,3,4,5,4,46,108,PHC,
12_8_15,N2,OP50,none,NA,oct,,1,0,2,2,0,9,61,PHC,
12_8_15,N2,OP50,none,NA,oct,,5,0,3,1,0,4,61,PHC,
12_8_15,N2,JUb39,none,NA,oct,,7,0,3,1,0,9,81,PHC,
12_8_15,N2,JUb39,none,NA,oct,,0,1,3,2,4,11,167,PHC,
12_8_15,N2,JUb39,none,NA,oct,,3,0,1,2,0,16,133,PHC,
