date,genotype,strain,assay,RowA,RowB,CD(Left),CD(middle),CD(right),RowE,RowF,User,Note
4_18_17,N2,OP50,oct,2,0,0,,1,19,104,PHC,
4_18_17,N2,OP50,oct,1,1,3,,3,26,154,PHC,
4_18_17,N2,JUb39,oct,9,3,5,,10,44,134,PHC,
4_18_17,N2,JUb39,oct,1,3,6,,4,19,113,PHC,
4_18_17,tbh-1,OP50,oct,0,2,2,,2,16,124,PHC,
4_18_17,tbh-1,OP50,oct,0,0,0,,0,16,28,PHC,
4_18_17,tbh-1,JUb39,oct,2,0,2,,5,14,171,PHC,
4_18_17,tbh-1,JUb39,oct,5,3,3,,14,21,169,PHC,
4_18_17,tdc-1,OP50,oct,2,3,3,,4,50,174,PHC,
4_18_17,tdc-1,OP50,oct,0,0,0,,0,24,130,PHC,
4_18_17,tdc-1,JUb39,oct,12,2,7,,13,28,189,PHC,
4_18_17,tdc-1,JUb39,oct,6,4,5,,10,20,131,PHC,
4_18_17,N2,OP50,oct,0,1,4,,8,53,168,MOD,
4_18_17,N2,OP50,oct,3,0,2,,4,7,78,MOD,
4_18_17,N2,JUb39,oct,1,5,2,,7,26,146,MOD,
4_18_17,N2,JUb39,oct,11,11,8,,4,62,145,MOD,
4_18_17,tbh-1,OP50,oct,0,4,0,,2,22,36,MOD,
4_18_17,tbh-1,OP50,oct,0,0,1,,2,39,86,MOD,
4_18_17,tbh-1,JUb39,oct,7,4,5,,16,35,96,MOD,
4_18_17,tbh-1,JUb39,oct,2,2,4,,5,29,124,MOD,
4_18_17,tdc-1,OP50,oct,1,0,2,,10,38,99,MOD,
4_18_17,tdc-1,OP50,oct,0,1,0,,2,46,65,MOD,
4_18_17,tdc-1,JUb39,oct,1,1,3,,4,25,128,MOD,
4_18_17,tdc-1,JUb39,oct,7,6,9,,21,27,137,MOD,
5_12_17,N2,OP50,oct,15,6,2,,1,5,213,,
5_12_17,N2,OP50,oct,10,2,2,,25,26,232,,
5_12_17,N2,OP50,oct,19,6,1,,1,5,175,,
5_12_17,N2,JUb39,oct,11,1,1,,1,0,58,,
5_12_17,N2,JUb39,oct,17,6,2,,0,7,108,,
5_12_17,tdc-1,OP50,oct,3,1,1,,0,27,82,,
5_12_17,tdc-1,OP50,oct,3,1,1,,0,29,204,,
5_12_17,tdc-1,JUb39,oct,14,5,1,,2,41,162,,
5_12_17,tdc-1,JUb39,oct,13,2,1,,2,3,116,,
5_12_17,tdc-1,JUb39,oct,22,7,1,,1,10,192,,
5_31_17,N2,OP50,oct,5,7,1,,3,15,94,,
5_31_17,N2,OP50,oct,7,3,3,,1,11,78,,
5_31_17,N2,JUb39,oct,27,5,0,,2,9,73,,
5_31_17,N2,JUb39,oct,20,6,3,,0,4,45,,
5_31_17,tbh-1,OP50,oct,4,3,0,,2,17,103,,
5_31_17,tbh-1,OP50,oct,6,4,2,,1,21,120,,
5_31_17,tbh-1,JUb39,oct,4,2,2,,7,7,62,,
5_31_17,tbh-1,JUb39,oct,12,1,3,,3,18,75,,
6_10_17,N2,OP50,oct,5,3,2,,5,58,134,,
6_10_17,N2,OP50,oct,5,0,0,,3,42,204,,
6_10_17,N2,JUb39,oct,2,8,0,,1,22,291,,
6_10_17,N2,JUb39,oct,5,12,3,,13,2,68,,
6_10_17,tbh-1,OP50,oct,6,5,4,,4,35,105,,
6_10_17,tbh-1,OP50,oct,3,2,3,,1,66,109,,
6_10_17,tbh-1,JUb39,oct,0,1,0,,2,11,24,,
6_10_17,tbh-1,JUb39,oct,8,1,0,,4,11,95,,
6_12_17,N2,OP50,oct,1,1,3,,2,87,151,,
6_12_17,N2,OP50,oct,3,0,0,,7,8,89,,
6_12_17,N2,JUb39,oct,2,3,6,,8,36,138,,
6_12_17,N2,JUb39,oct,7,3,4,,6,47,177,,
6_12_17,tbh-1,OP50,oct,2,4,2,,22,83,165,,
6_12_17,tbh-1,JUb39,oct,5,1,1,,3,1,57,,
6_12_17,tbh-1,JUb39,oct,1,0,0,,2,7,114,,
7_22_18,N2,OP50,oct,3,0,2,,1,1,16,,
7_22_18,N2,OP50,oct,10,1,3,,3,11,49,,
7_22_18,N2,JUb39,oct,33,6,0,,5,24,29,,
7_22_18,N2,JUb39,oct,31,1,5,,6,26,68,,
7_22_18,N2,JUb39,oct,6,5,4,,3,11,40,,
7_22_18,tbh-1,OP50,oct,0,1,2,,2,7,51,,
7_22_18,tbh-1,OP50,oct,3,0,2,,1,8,84,,
