date,genotype,strain,assay,RowA,RowB,CD(Left),CD(middle),CD(right),RowE,RowF,User,Note
2019_05_07,N2,OP50,oct,14,1,2,,0,4,32,,
2019_05_07,N2,OP50,oct,9,1,0,,1,9,56,,
2019_05_07,N2,OP50,oct,37,5,0,,0,5,79,,
2019_05_07,N2,OP50,oct,13,1,0,,1,12,65,,
2019_05_07,N2,JUb39,oct,6,1,0,,0,1,19,,
2019_05_07,N2,JUb39,oct,8,2,1,,0,0,46,,
2019_05_07,N2,JUb39,oct,15,8,0,,0,3,32,,
2019_05_07,N2,JUb39,oct,12,2,1,,0,3,51,,
2019_05_07,N2,JUb39; tdcDel::cmR delAADC,oct,3,3,0,,0,1,29,,
2019_05_07,N2,JUb39; tdcDel::cmR delAADC,oct,5,1,1,,0,0,36,,
2019_05_07,N2,JUb39; tdcDel::cmR delAADC,oct,0,2,1,,0,0,18,,
2019_05_07,N2,JUb39; tdcDel::cmR delAADC,oct,9,1,0,,0,5,41,,
