date,genotype,strain,treatment,treatment,assay,group,RowA,RowB,CD(Left),CD(middle),CD(right),RowE,RowF,User,Note
11_20_15,N2,OP50,dead,,oct,,4,1,1,0,2,6,32,PHC,
11_20_15,N2,OP50,dead,,oct,,3,0,1,1,0,2,44,PHC,
11_20_15,N2,OP50,dead,,oct,,5,2,2,2,1,4,75,PHC,
11_20_15,N2,JUb39,dead,,oct,,7,0,1,2,1,2,85,PHC,
11_20_15,N2,JUb39,dead,,oct,,47,2,1,2,1,1,156,PHC,
11_20_15,N2,JUb39,dead,,oct,,14,3,6,5,4,13,132,PHC,
11_20_15,N2,OP50,live,,oct,,8,0,1,5,0,2,105,MOD,
11_20_15,N2,OP50,live,,oct,,2,0,1,0,0,1,25,MOD,
11_20_15,N2,OP50,live,,oct,,14,1,0,13,2,7,43,MOD,
11_20_15,N2,JUb39,live,,oct,,10,0,0,1,0,0,36,MOD,
11_20_15,N2,JUb39,live,,oct,,12,1,1,1,1,1,66,MOD,
11_20_15,N2,JUb39,live,,oct,,39,4,3,6,3,5,8,MOD,
11_24_15,N2,JUb39,dead,,oct,,0,1,3,7,10,82,101,PHC,
11_24_15,N2,JUb39,dead,,oct,,1,1,10,8,14,69,106,PHC,
11_24_15,N2,JUb39,dead,,oct,,1,0,7,12,9,106,94,PHC,
11_24_15,N2,OP50,dead,,oct,,3,0,0,6,3,93,158,PHC,
11_24_15,N2,OP50,dead,,oct,,2,1,2,6,3,98,72,PHC,
11_24_15,N2,OP50,dead,,oct,,0,1,2,3,3,78,108,PHC,
11_24_15,N2,JUb39,dead,,oct,,0,0,2,29,2,32,14,PHC,
11_24_15,N2,JUb39,dead,,oct,,0,0,1,17,2,56,26,PHC,
11_24_15,N2,JUb39,dead,,oct,,0,1,0,8,0,29,5,PHC,
11_24_15,N2,OP50,dead,,oct,,0,0,1,1,0,52,39,PHC,
11_24_15,N2,OP50,dead,,oct,,0,0,2,2,1,85,41,PHC,
11_24_15,N2,OP50,dead,,oct,,0,0,1,4,2,84,84,PHC,
11_24_15,N2,JUb39,live,,oct,,10,8,6,12,8,42,181,PHC,
11_24_15,N2,JUb39,live,,oct,,2,2,0,16,11,44,137,PHC,
11_24_15,N2,JUb39,live,,oct,,4,2,2,6,0,38,262,PHC,
11_24_15,N2,OP50,live,,oct,,0,0,2,0,2,27,121,PHC,
11_24_15,N2,OP50,live,,oct,,1,0,0,2,1,24,133,PHC,
11_24_15,N2,OP50,live,,oct,,0,0,0,2,0,14,58,PHC,
