date,genotype,strain,assay,group,plate,RowA,RowB,C,D,RowE,RowF,User,Note
4_18_17,N2,OP50,oct,,,2,0,0,1,19,104,PHC,
4_18_17,N2,OP50,oct,,,1,1,3,3,26,154,PHC,
4_18_17,N2,JUb39,oct,,,9,3,5,10,44,134,PHC,
4_18_17,N2,JUb39,oct,,,1,3,6,4,19,113,PHC,
4_18_17,N2,MOb007,oct,,,8,2,2,11,15,198,PHC,
4_18_17,N2,MOb007,oct,,,0,2,1,5,7,107,PHC,
4_18_17,N2,OP50,oct,,,0,1,4,8,53,168,MOD,
4_18_17,N2,OP50,oct,,,3,0,2,4,7,78,MOD,
4_18_17,N2,JUb39,oct,,,1,5,2,7,26,146,MOD,
4_18_17,N2,JUb39,oct,,,11,11,8,4,62,145,MOD,
4_18_17,N2,MOb007,oct,,,2,4,1,4,14,90,MOD,cluster
4_18_17,N2,MOb007,oct,,,8,4,1,2,29,79,MOD,cluster
5_12_17,N2,OP50,oct,,,15,6,2,1,5,213,,
5_12_17,N2,OP50,oct,,,10,2,2,25,26,232,,
5_12_17,N2,OP50,oct,,,19,6,1,1,5,175,,
5_12_17,N2,JUb39,oct,,,11,1,1,1,0,58,,
5_12_17,N2,JUb39,oct,,,17,6,2,0,7,108,,
6_16_18,N2,OP50,oct,,,2,0,0,1,9,37,,
6_16_18,N2,OP50,oct,,,70,5,0,1,20,221,,
6_16_18,N2,JUb39,oct,,,36,10,5,7,6,85,,
6_16_18,N2,JUb39,oct,,,14,6,7,5,21,91,,
6_16_18,N2,JUb39,oct,,,62,14,4,4,6,51,,
6_16_18,N2,MOb007,oct,,,26,4,1,3,8,34,,
6_16_18,N2,MOb007,oct,,,33,15,5,9,14,88,,
6_16_18,N2,MOb007,oct,,,71,21,9,8,5,62,,
7_22_18,N2,OP50,oct,,,3,0,2,1,1,16,,
7_22_18,N2,OP50,oct,,,10,1,3,3,11,49,,
7_22_18,N2,JUb39,oct,,,33,6,0,5,24,29,,
7_22_18,N2,JUb39,oct,,,31,1,5,6,26,68,,
7_22_18,N2,JUb39,oct,,,6,5,4,3,11,40,,
7_22_18,N2,MOb007,oct,,,13,1,0,1,9,41,,
7_22_18,N2,MOb007,oct,,,30,4,8,6,5,48,,
